,_id,l_ID,r_ID,l_name,l_city,l_zipcode,l_review_count,l_latitude,l_longitude,l_rating,l_address,l_zomato_id,l_yelp_id,r_name,r_city,r_zipcode,r_review_count,r_latitude,r_longitude,r_rating,r_address,r_zomato_id,r_yelp_id,label
16308,16308,a52452,b312,Pike's Old Fashioned Soda Shop,Charlotte,28203,230,35.2109878,-80.861,3.5,1930 Camden Rd,0,NbrXg59fYR3MoeXdeAIQIQ,Price's Chicken Coop,Charlotte,28203,1093,35.214563,-80.857329,4.5,1614 Camden Road$*$ Charlotte$*$ NC 28203,17147994,0,0
16477,16477,a57198,b308,Lowe's,Charlotte,28203,48,35.2055386,-80.8605669,3.5,217 Iverson Way,0,qrPbFiwRT5F_4HLHZVL26Q,Pike's,Charlotte,28203,1056,35.211284,-80.86008,4.6,1930 Camden Road$*$ Charlotte$*$ NC 28203,17147968,0,0
16636,16636,a63958,b307,Bad Daddy's Burger Bar,Charlotte,28203,386,35.199097,-80.840805,4,1626 East Blvd,0,yWUBX9Pe6pzh1PjVj04UmQ,Bad Daddy's,Charlotte,28203,1363,35.199007,-80.8408317,4.6,1626 East Boulevard$*$ Charlotte$*$ NC 28203,17148552,0,1
17523,17523,a88829,b392,Campbell's Greenhouses,Charlotte,28203,24,35.207751,-80.859744,4.5,209 McDonald Ave,0,TEdtu4fe7yZ5biKsYpURBw,Sullivan's Steakhouse,Charlotte,28203,486,35.210526,-80.859246,4.1,1928 South Boulevard$*$ Charlotte$*$ NC 28203,17148288,0,0
18115,18115,a104233,b400,Luna's Living Kitchen,Charlotte,28203,214,35.20902658,-80.86115551,4.5,2000 S Blvd$*$ Ste 300,0,R1jJQi2yR44D_2ileqr8kA,Luna's Living Kitchen,Charlotte,28203,244,35.208548,-80.86153,4.1,2102 South Boulevard$*$ Suite 300$*$ Charlotte$*$ NC 28203,17150072,0,1
21828,21828,a103782,b2362,Island Malaysian Cuisine,Las Vegas,89103,192,36.125592,-115.211199,4,5115 Spring Mountain Rd$*$ Ste 217,0,X5uxdU9GHoUAqo2wmbg3OQ,Nora's Cuisine,Las Vegas,89103,548,36.114777,-115.223348,4.2,6020 W Flamingo Road$*$ Las Vegas$*$ NV 89103,16979551,0,0
23184,23184,a140022,b2362,Nina's Cafe,Las Vegas,89103,26,36.1148713,-115.2066735,4,4825 W Flamingo Rd$*$ Ste 9-10,0,IGYlCWnhjTg8QHvnaxpagA,Nora's Cuisine,Las Vegas,89103,548,36.114777,-115.223348,4.2,6020 W Flamingo Road$*$ Las Vegas$*$ NV 89103,16979551,0,0
23288,23288,a140535,b2362,Royal Vision,Las Vegas,89103,5,36.1151927,-115.2320254,3.5,6370 W Flamingo Rd$*$ Ste 8,0,C8vZ5O-typOqH7pVYrgLBw,Nora's Cuisine,Las Vegas,89103,548,36.114777,-115.223348,4.2,6020 W Flamingo Road$*$ Las Vegas$*$ NV 89103,16979551,0,0
23660,23660,a133408,b317,Taqueria La Unica,Indian Trail,28079,180,35.0678584,-80.6775771,4.5,4305 Old Monroe Rd,0,57aBx6Mo_VRk_kMA8J5Efg,Taqueria la Unica,Charlotte,28079,345,35.067698,-80.678044,4.5,4305 Old Monroe Road$*$ NC 28079,17149730,0,1
23726,23726,a28555,b3586,Wendy's,Stow,44224,6,41.2017402,-81.4397075,1,5025 Darrow Rd,0,7vqsCTpH_QFomi0Q_URf2w,Swenson's,Cleveland,44224,294,41.155145,-81.400499,4.2,4466 Kent Rd$*$ Stow$*$ OH 44224,16962983,0,0
23845,23845,a1164,b1527,BreadWorks Bakery,Pittsburgh,15212,19,40.46194,-80.01929,4.5,2110 Brighton Rd,0,Uh6EhbFKgQlhVpfvnqsfHA,Breadworks,Pittsburgh,15212,478,40.461944,-80.019057,4.5,2110 Brighton Rd$*$ Pittsburgh$*$ PA 15212,17036048,0,1
23888,23888,a7608,b1559,Legends of The North Shore,Pittsburgh,15212,101,40.4566092,-80.0015054,4,500 E N Ave,0,QeShrs6cUNBjJoTCkJiB0g,Legends of the North Shore Restaurant,Pittsburgh,15212,629,40.4565599,-80.0015124,4.3,500 E North Avenue$*$ Pittsburgh$*$ PA 15212,17036766,0,1
24326,24326,a138499,b1559,Morgan at North Shore,Pittsburgh,15212,3,40.4489033,-80.0000313,3,100 Anderson St,0,sKj6YZekA6CCCrNWSlq--Q,Legends of the North Shore Restaurant,Pittsburgh,15212,629,40.4565599,-80.0015124,4.3,500 E North Avenue$*$ Pittsburgh$*$ PA 15212,17036766,0,0
24554,24554,a5302,b592,King Solomon's Pizza,Phoenix,85014,16,33.5080653,-112.065452,4.5,4810 N 7th St,0,HCsceGqc3Y3SiUxcpzNuDA,Spinato's Pizza,Phoenix,85014,234,33.517438,-112.063844,4,5509 North 7th Street$*$ Midtown$*$ Phoenix$*$ AZ 85014,17029287,0,0
24857,24857,a23917,b554,Spinato's Pizzeria,Phoenix,85014,221,33.51700641,-112.0646513,4,5509 N 7th St,0,_mg5bYknpZgaWSfjQVmrJQ,Oregano's Pizza Bistro,Phoenix,85014,348,33.509437,-112.060141,4.1,1008 E Camelback Rd$*$ Phoenix$*$ AZ 85014,17028233,0,0
24860,24860,a23917,b592,Spinato's Pizzeria,Phoenix,85014,221,33.51700641,-112.0646513,4,5509 N 7th St,0,_mg5bYknpZgaWSfjQVmrJQ,Spinato's Pizza,Phoenix,85014,234,33.517438,-112.063844,4,5509 North 7th Street$*$ Midtown$*$ Phoenix$*$ AZ 85014,17029287,0,1
25271,25271,a25995,b554,Domino's Pizza,Phoenix,85014,14,33.5095292,-112.0609579,2,914 E Camelback Rd,0,U8CnzJzi54gkveXx9xnVYQ,Oregano's Pizza Bistro,Phoenix,85014,348,33.509437,-112.060141,4.1,1008 E Camelback Rd$*$ Phoenix$*$ AZ 85014,17028233,0,0
26254,26254,a38147,b553,Cherryblossom Noodle Cafe,Phoenix,85014,817,33.50980204,-112.0610866,4,914 E Camelback Rd,0,fT6Uwl6abRQfiNgxre_qbg,Cherryblossom Noodle Cafe,Phoenix,85014,316,33.509437,-112.061628,4.1,914 East Camelback Road$*$ Phoenix$*$ AZ 85014,17025780,0,1
27035,27035,a116651,b554,Fuego Bistro,Phoenix,85014,525,33.5219022,-112.0640939,4.5,713 E Palo Verde Rd,0,HGvNE87fvK5PwKMZBDkTbA,Oregano's Pizza Bistro,Phoenix,85014,348,33.509437,-112.060141,4.1,1008 E Camelback Rd$*$ Phoenix$*$ AZ 85014,17028233,0,0
29249,29249,a82438,b2352,Sushi Mon,Las Vegas,89117,264,36.14359527,-115.2798899,3.5,8320 W Sahara Ave$*$ Ste 180,0,m_CqRpEZ2XDH3fp-KFAycQ,Sushi Fever,Las Vegas,89117,279,36.143547,-115.265178,4.3,7985 W Sahara Ave Ste 105$*$ Las Vegas$*$ NV 89117,16980483,0,0
32961,32961,a26334,b3533,Sarku Japan,North Olmsted,44070,3,41.41757253,-81.90701365,2.5,25615 Brookpark Rd,0,5ogGZ4ZiO7SwFPPtt3Zmpw,Ohashi Japanese,Cleveland,44070,336,41.426,-81.893585,4.4,24539 Lorain Rd$*$ North Olmsted$*$ OH 44070,16962037,0,0
33323,33323,a39569,b3591,Popeyes Louisiana Grill,North Olmsted,44070,12,41.4195924,-81.9130639,2,26170 Lorain Rd,0,Wsk9CyM-FhybMA48I38JKg,Mashiso Asian Grille,Cleveland,44070,210,41.419094,-81.898564,4.2,24954 Brookpark Rd$*$ North Olmsted$*$ OH 44070,16964914,0,0
33509,33509,a60866,b3502,Deps Nails & Salon,North Olmsted,44070,4,41.4199295,-81.89662933,3,25102 Brookpark Rd,0,1kjKjictLGVCqP63g1La7w,Fat Heads Brewery & Saloon,Cleveland,44070,1355,41.426678,-81.894256,4.9,24581 Lorain Rd$*$ North Olmsted$*$ OH 44070,16964400,0,0
33653,33653,a68140,b3591,Mama Fu's Asian House,North Olmsted,44070,29,41.416814,-81.906416,3,402 Great Northern Mall,0,z_zyOfFO-OIYgCR5hstyTw,Mashiso Asian Grille,Cleveland,44070,210,41.419094,-81.898564,4.2,24954 Brookpark Rd$*$ North Olmsted$*$ OH 44070,16964914,0,0
35302,35302,a135819,b2368,Oyshi Sushi,Las Vegas,89139,969,36.047306,-115.244158,3.5,7775 S Rainbow Blvd$*$ Ste 145,0,Gaq3S9lmjXVcuDCZ8ulppw,Oyshi Sushi,Las Vegas,89139,483,36.047124,-115.243435,4.2,7775 S Rainbow Blvd Ste 145$*$ Las Vegas$*$ NV 89139,16981221,0,1
36481,36481,a6346,b2328,Chase Bank,Las Vegas,89119,15,36.114887,-115.135323,2,1340 E,0,g_UINGgOcQq-vkpAbp7lWQ,Texas de Brazil,Las Vegas,89119,763,36.0701369,-115.1753018,4.4,6533 S Las Vegas Blvd$*$ Las Vegas$*$ NV 89119,16981172,0,0
37001,37001,a15969,b2353,Vapor Bombz Vegas,Las Vegas,89119,29,36.1154417,-115.1336045,4.5,1370 E Flamingo Rd$*$ Ste K,0,5B2bliw6ZYnFv8VVCdoSDw,Slice of Vegas,Las Vegas,89119,210,36.092089,-115.172992,4.3,3930 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89119,16982662,0,0
37978,37978,a44291,b2322,Avis Car Rental at Mandalay Bay,Las Vegas,89119,5,36.08940193,-115.1725602,2,3950 S Las Vegas Blvd,0,TLQFho2oZk9wejW1O-4gHA,Burger Bar - Mandalay Bay,Las Vegas,89119,1574,36.092089,-115.172992,4.4,Mandalay Bay$*$ 3930 South Las Vegas Boulevard$*$ The Strip$*$ Las Vegas$*$ NV 89119,16977697,0,0
38101,38101,a47566,b2358,Track Lounge,Las Vegas,89119,3,36.0858828,-115.149411,3,5757 Wayne Newton Blvd,0,hL1r-Mh-UPOQJ7tbXCd9Yw,Yard House,Las Vegas,89119,488,36.0682346,-115.1758636,4.2,6593 S Las Vegas Boulevard$*$ Las Vegas$*$ NV 89119,16980971,0,0
39038,39038,a58271,b2353,Louis's Las Vegas,Las Vegas,89119,4,36.0686142,-115.1776615,4.5,6599 Las Vegas Blvd,0,U8rsbHtpV60h8USOL-kaLg,Slice of Vegas,Las Vegas,89119,210,36.092089,-115.172992,4.3,3930 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89119,16982662,0,0
39967,39967,a71266,b2328,Chase Bank,Las Vegas,89119,3,36.058026,-115.118901,5,7265 S Eastern Ave,0,S06JfRM3ICESOHc1pr3LOA,Texas de Brazil,Las Vegas,89119,763,36.0701369,-115.1753018,4.4,6533 S Las Vegas Blvd$*$ Las Vegas$*$ NV 89119,16981172,0,0
40354,40354,a80008,b2353,Welcome To Las Vegas,Las Vegas,89119,3,36.0912617,-115.1742471,3.5,3930 Las Vegas S Blvd,0,Widwt7qBK0iZwsjdn6ACoQ,Slice of Vegas,Las Vegas,89119,210,36.092089,-115.172992,4.3,3930 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89119,16982662,0,0
40621,40621,a84810,b2358,Yaya Life,Las Vegas,89119,20,36.1049744,-115.1359993,4.5,4632 S Maryland Pkwy$*$ Ste 16,0,05OUuoInL-o8Ed-7z_cIUg,Yard House,Las Vegas,89119,488,36.0682346,-115.1758636,4.2,6593 S Las Vegas Boulevard$*$ Las Vegas$*$ NV 89119,16980971,0,0
40956,40956,a90153,b2353,Fruition Las Vegas,Las Vegas,89119,46,36.11374676,-115.1382778,4.5,4139 S Maryland Pkwy,0,tuELRpI9dIKY7p59MMernw,Slice of Vegas,Las Vegas,89119,210,36.092089,-115.172992,4.3,3930 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89119,16982662,0,0
41593,41593,a101583,b2353,Welcome To Las Vegas Sign,Paradise,89119,235,36.082525,-115.1729587,4.5,5100 Las Vegas Blvd,0,ZV3G2LxpLLuZOFbn208Z5A,Slice of Vegas,Las Vegas,89119,210,36.092089,-115.172992,4.3,3930 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89119,16982662,0,0
42069,42069,a106413,b2353,BAZ Las Vegas,Las Vegas,89119,74,36.1242284,-115.1684696,4.5,The Palazzo Theater$*$ 3325 S Las Vegas Blvd,0,VsNL5l5hNLMdm4LUIH0KoQ,Slice of Vegas,Las Vegas,89119,210,36.092089,-115.172992,4.3,3930 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89119,16982662,0,0
42188,42188,a107023,b2353,Mr. Shesha Vegas,Las Vegas,89119,36,36.0571445,-115.1286093,5,1725 E Warm Springs Rd,0,ucIQl4HI_LS3J8s4kRlRSA,Slice of Vegas,Las Vegas,89119,210,36.092089,-115.172992,4.3,3930 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89119,16982662,0,0
42273,42273,a107472,b2358,Bar Code,Las Vegas,89119,27,36.11490549,-115.1318219,4.5,1590 E Flamingo Rd,0,c5N-XCk-ntpyYRsYkwH7kA,Yard House,Las Vegas,89119,488,36.0682346,-115.1758636,4.2,6593 S Las Vegas Boulevard$*$ Las Vegas$*$ NV 89119,16980971,0,0
43847,43847,a117235,b2353,AVR Las Vegas,Las Vegas,89119,59,36.061604,-115.163001,3.5,7040 Gilespie St,0,GLgL8e9QvHPvy39UIbX-cA,Slice of Vegas,Las Vegas,89119,210,36.092089,-115.172992,4.3,3930 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89119,16982662,0,0
44376,44376,a124832,b2322,The Shoppes at Mandalay Place,Las Vegas,89119,18,36.0912617,-115.1742471,3,3950 S Las Vegas Blvd,0,Xy7PVlK8GxQc4d7bXtEqQw,Burger Bar - Mandalay Bay,Las Vegas,89119,1574,36.092089,-115.172992,4.4,Mandalay Bay$*$ 3930 South Las Vegas Boulevard$*$ The Strip$*$ Las Vegas$*$ NV 89119,16977697,0,0
44381,44381,a124908,b2305,Aureole,Las Vegas,89119,599,36.09256306,-115.1764154,3.5,3950 S Las Vegas Blvd,0,MqYYYNA-ZYvV-1w5qcmMoA,Firefly,Las Vegas,89119,1390,36.1199703,-115.1545992,4.7,3824 Paradise Rd$*$ Las Vegas$*$ NV 89119,16978406,0,0
44634,44634,a129905,b2318,Baja Fresh,Las Vegas,89119,33,36.0839998,-115.1537389,3,McCarran International Airport$*$ 5757 Wayne Newton Blvd,0,d2IDbGP7tT8C6vBtxdpmLg,Yama Sushi,Las Vegas,89119,489,36.114809,-115.136073,4.5,1350 E Flamingo Rd$*$ Las Vegas$*$ NV 89119,16980968,0,0
45177,45177,a135504,b2353,Livescan Las Vegas,Las Vegas,89119,10,36.1038987,-115.1185437,1.5,4680 S Eastern Ave$*$ Ste H,0,8HRgT3io4TzvzHOdWWWp7Q,Slice of Vegas,Las Vegas,89119,210,36.092089,-115.172992,4.3,3930 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89119,16982662,0,0
45632,45632,a137452,b2353,FIT4MOM Las Vegas,Las Vegas,89119,11,36.0671511,-115.1757889,5,6605 S Las Vegas Blvd,0,o-h-WpzS1id-Ffz-cC9y1Q,Slice of Vegas,Las Vegas,89119,210,36.092089,-115.172992,4.3,3930 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89119,16982662,0,0
46351,46351,a22105,b461,Gates & Brovi,Madison,53711,130,43.052916,-89.435789,3.5,3502 Monroe St,0,YgBQEX8dB27FdYj7PaPhPw,Great Dane Pub & Brewing,Madison,53711,244,43.0187,-89.4223,4,2980 Cahill Main$*$ Fitchburg$*$ WI 53711,17501779,0,0
46378,46378,a22369,b419,Pizza Pit Extreme,Madison,53711,26,43.06713,-89.414179,3,1614 Monroe St,0,Ev142kLmV_ASI9iAl-KfKA,Pizza Brutta,Madison,53711,297,43.065207,-89.416452,4.3,1805 Monroe St$*$ Madison$*$ WI 53711,17503392,0,0
46427,46427,a29781,b419,Pizza Bella,Madison,53711,7,43.0676374,-89.4105418,1.5,1437 Regent St,0,dK7sFWvfEQ0Anuz7ch4t8A,Pizza Brutta,Madison,53711,297,43.065207,-89.416452,4.3,1805 Monroe St$*$ Madison$*$ WI 53711,17503392,0,0
46487,46487,a39705,b490,Faouzi's Restaurant,Madison,53711,5,43.0345247,-89.445519,4,4245 W Beltline Hwy,0,SPFu6EgRI8PwVuoHEzCgdw,Takara Japanese Restaurant,Madison,53711,221,43.0502,-89.4736,3.9,696 S Whitney Way$*$ Madison$*$ WI 53711,17502687,0,0
46672,46672,a57165,b419,Pizza Hut,Madison,53711,4,43.0144173,-89.4274219,2,2935 S Fish Hatchery Rd Ste 1,0,_xcDTH9G4LDqADfpmok6SQ,Pizza Brutta,Madison,53711,297,43.065207,-89.416452,4.3,1805 Monroe St$*$ Madison$*$ WI 53711,17503392,0,0
47831,47831,a134373,b490,Laredo's Mexican Restaurant,Fitchburg,53711,39,43.0144343,-89.4274935,3,2935 S Fish Hatchery Rd,0,0rrq-d9iNL2rrLET61v7jg,Takara Japanese Restaurant,Madison,53711,221,43.0502,-89.4736,3.9,696 S Whitney Way$*$ Madison$*$ WI 53711,17502687,0,0
48090,48090,a79663,b585,The Hermosa Inn,Paradise Valley,85253,33,33.518225,-112.004898,4.5,5532 N Palo Cristi Rd,0,f-KUpaw28JfS6_a_Cv9zWQ,Lon's - The Hermosa Inn,Phoenix,85253,225,33.518368,-112.004635,4,The Hermosa Inn$*$ 5532 North Palo Cristi Road$*$ Biltmore/Arcadia$*$ Phoenix$*$ AZ 85253,17027592,0,0
49377,49377,a98037,b1510,Spice Island Tea House,Pittsburgh,15213,259,40.4400334,-79.9559915,4,253 Atwood St,0,Fpm3WvqtrAg2ueh_4pz7iA,Spice Island Tea House,Pittsburgh,15213,1109,40.440271,-79.956363,4.6,253 Atwood St$*$ Pittsburgh$*$ PA 15213,17037440,0,1
49497,49497,a104143,b1510,The Doner Kebab House,Pittsburgh,15213,4,40.4364494,-79.9544242,3.5,424 Semple St,0,mKoi3QV2d45Qm3iWt1aa3w,Spice Island Tea House,Pittsburgh,15213,1109,40.440271,-79.956363,4.6,253 Atwood St$*$ Pittsburgh$*$ PA 15213,17037440,0,0
50285,50285,a37173,b1595,Cucina Bella,Bridgeville,15017,57,40.3496337,-80.0994194,4,1200 Pennsylvania Ave,0,cKbPGglAjIGG6MeVy7n8XQ,Cucina Bella,Pittsburgh,15017,571,40.349499,-80.100212,4.2,1200 Pennsylvania Ave$*$ Bridgeville$*$ PA 15017,17042274,0,1
50688,50688,a5449,b513,Nook Kitchen,Phoenix,85018,346,33.49488969,-112.0029784,4.5,3623 E Indian School Rd,0,hTsZSiftorNUFb1VaHCHHg,Chelsea's Kitchen,Phoenix,85018,952,33.51134,-111.995464,4.4,5040 North 40th Street$*$ Biltmore/Arcadia$*$ Phoenix$*$ AZ 85018,17025770,0,0
50770,50770,a6653,b552,The Palms,Phoenix,85018,4,33.502822,-111.990298,3,4304 E Campbell Ave,0,lWTAyaM5MyvGqKujuVlOYQ,The Vig,Phoenix,85018,349,33.493931,-111.995324,4.1,4041 N 40th St$*$ Phoenix$*$ AZ 85018,17029878,0,0
50956,50956,a8782,b510,La Grande Orange Grocery,Phoenix,85018,693,33.50231263,-111.9957522,4,4410 N 40th St,0,D3dAx-QW_uuClz4MambeHA,La Grande Orange Grocery,Phoenix,85018,736,33.501531,-111.995564,4.5,4410 North 40th Street$*$ Biltmore/Arcadia$*$ Phoenix$*$ AZ 85018,17027423,0,1
52435,52435,a27777,b552,The Way,Phoenix,85018,8,33.480409,-111.979862,5,4700 E Thomas Rd$*$ Ste 100,0,eQZJj-gxNn9BBlVZaBAoLg,The Vig,Phoenix,85018,349,33.493931,-111.995324,4.1,4041 N 40th St$*$ Phoenix$*$ AZ 85018,17029878,0,0
53537,53537,a34678,b596,Chicago Hamburger Co,Phoenix,85018,309,33.4947745,-112.0000425,4,3749 E Indian School Rd,0,UCqWJWovgeelP1OUI_L90w,Chicago Hamburger Co.,Phoenix,85018,204,33.494993,-112.00099,4,3749 E Indian School Rd$*$ Phoenix$*$ AZ 85018,17025788,0,1
53990,53990,a38868,b511,Giant Rustic Pizza,Phoenix,85018,95,33.5090177,-111.996308,4,3945 E Camelback Rd,0,ETTzxqOcPuxMqV37y1uhdg,La Grande Orange Pizzeria,Phoenix,85018,760,33.501531,-111.995564,4.5,4410 N 40th St$*$ Phoenix$*$ AZ 85018,17027424,0,0
54960,54960,a42851,b504,Los Armandos,Phoenix,85018,28,33.480391,-111.978627,3,4732 E Thomas Rd,0,aYlZVqlqf8QRd9EW0iRC4w,Postino Arcadia,Phoenix,85018,1142,33.502363,-111.996517,4.8,3939 East Campbell Avenue$*$ Biltmore/Arcadia$*$ Phoenix$*$ AZ 85018,17028658,0,0
55212,55212,a43613,b504,Studio Adriana,Phoenix,85018,11,33.5107015,-111.9863975,5,4515 N 32nd St$*$ Ste 200,0,52ZQ9A6PTJKJ5amRJSbEDA,Postino Arcadia,Phoenix,85018,1142,33.502363,-111.996517,4.8,3939 East Campbell Avenue$*$ Biltmore/Arcadia$*$ Phoenix$*$ AZ 85018,17028658,0,0
57556,57556,a115285,b552,The Henry,Phoenix,85018,716,33.508841,-111.9843047,4,4455 E Camelback Rd,0,LelAlfuj5oVRF9CQdWLsNQ,The Vig,Phoenix,85018,349,33.493931,-111.995324,4.1,4041 N 40th St$*$ Phoenix$*$ AZ 85018,17029878,0,0
57881,57881,a347,b1532,7-Eleven,Pittsburgh,15222,3,40.4425995,-80.0001807,2,643 Liberty Avenue,0,4nJTFvIDmIkgvwf36XruOg,Eleven,Pittsburgh,15222,1310,40.445903,-79.99342,4.4,1150 Smallman St$*$ Pittsburgh$*$ PA 15222,17036383,0,0
59339,59339,a46894,b1512,Mahoney's Restaurant,Pittsburgh,15222,31,40.4436238,-79.9963285,2.5,949 Liberty Ave,0,Ei4voH2C7JgCyFmABY_CfA,Wholey's Fish Market,Pittsburgh,15222,1034,40.449952,-79.985985,4.6,1711 Penn Ave$*$ Pittsburgh$*$ PA 15222,17037681,0,0
59467,59467,a48537,b1589,Mexico City,Pittsburgh,15222,22,40.43978,-80.001441,3,409 Wood St,0,Quh8Fjutyw15B6ZGZEf2gA,Enrico Biscotti,Pittsburgh,15222,501,40.451189,-79.983623,4.2,2022 Penn Ave$*$ Pittsburgh$*$ PA 15222,17036389,0,0
59676,59676,a57401,b1577,Leaf & Bean,Pittsburgh,15222,38,40.4521039,-79.9818756,4,2200 Penn Ave,0,b4Atbd4V8UKEoXzhbL-o5g,Meat & Potatoes,Pittsburgh,15222,1865,40.4431017,-80.0012236,4.2,649 Penn Ave$*$ Pittsburgh$*$ PA 15222,17042327,0,0
