,Unnamed: 0,_id,l_ID,r_ID,l_name,l_city,l_zipcode,l_review_count,l_latitude,l_longitude,l_rating,l_address,l_zomato_id,l_yelp_id,r_name,r_city,r_zipcode,r_review_count,r_latitude,r_longitude,r_rating,r_address,r_zomato_id,r_yelp_id,label
80,59467,59467,a48537,b1589,Mexico City,Pittsburgh,15222,22,40.43978,-80.001441,3.0,409 Wood St,0,Quh8Fjutyw15B6ZGZEf2gA,Enrico Biscotti,Pittsburgh,15222,501,40.451189,-79.983623,4.2,2022 Penn Ave$*$ Pittsburgh$*$ PA 15222,17036389,0,0
113,76395,76395,a41329,b468,Orpheum Lobby Restaurant,Madison,53703,20,43.0748942,-89.3886553,4.0,216 State St,0,qnuBmj3lL_S_QQOmTI9cfw,Parthenon Gyros Restaurant,Madison,53703,174,43.0749,-89.3904,4.0,316 State St$*$ Madison$*$ WI 53703,17502488,0,0
428,287198,287198,a128040,b1651,Sun Singer Wine and Spirits,Champaign,61821,78,40.0831838,-88.264391,4.0,1115 W Windsor Rd,0,O3zVw-VAcJi8ta4B6v5iAA,Sun Singer Wine Bar Cafe,Champaign,61821,97,40.083516,-88.264395,3.8,1115 W Windsor Rd.$*$ Champaign$*$ IL 61821,17317818,0,1
336,235523,235523,a120587,b3505,Domino's Pizza,Lakewood,44107,6,41.4847157,-81.803279,2.5,15315 Detroit Ave,0,gmbF7yyNkwNTcQlj_ogVVg,Angelo's Pizza,Cleveland,44107,1020,41.476972,-81.788284,4.7,13715 Madison Ave$*$ Lakewood$*$ OH 44107,16958977,0,0
38,33653,33653,a68140,b3591,Mama Fu's Asian House,North Olmsted,44070,29,41.416814,-81.906416,3.0,402 Great Northern Mall,0,z_zyOfFO-OIYgCR5hstyTw,Mashiso Asian Grille,Cleveland,44070,210,41.419094,-81.898564,4.2,24954 Brookpark Rd$*$ North Olmsted$*$ OH 44070,16964914,0,0
296,205434,205434,a117460,b2314,Grand Pool Complex,Las Vegas,89109,110,36.10252939,-115.1693103,4.0,3799 Las Vegas Blvd S,0,82H9MpHRKRIpY6WdKEVL1g,Grand Lux Cafe,Las Vegas,89109,1022,36.121,-115.1702,4.5,3355 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89109,16978572,0,0
102,71019,71019,a25832,b479,Mia Za's Italian Cafe,Madison,53703,49,43.074593,-89.394235,3.0,515 State St,0,hVzRXGGhRJfTXIasO3bq1w,Mediterranean Cafe,Madison,53703,127,43.0747,-89.3959,4.0,625 State St$*$ Madison$*$ WI 53703,17502390,0,0
171,103646,103646,a13219,b539,Cactus Jack's Bar & Grill,Phoenix,85044,45,33.34836966,-111.9833856,3.5,4747 E Elliot Rd$*$ Ste 3,0,rBqek2924sBTjW1qE2ci2Q,Sakana Sushi & Grill,Phoenix,85044,327,33.348763,-111.97668,4.2,5061 East Elliot Road$*$ Ahwatukee$*$ Phoenix$*$ AZ 85044,17029025,0,0
518,344379,344379,a10558,b1517,Tram's Kitchen,Pittsburgh,15224,244,40.4653491,-79.955948,4.0,4050 Penn Ave,0,RYBGhnFtyZGjlREEfcRFrg,Tram's Kitchen,Pittsburgh,15224,1361,40.465339,-79.956146,4.5,4050 Penn Ave$*$ Pittsburgh$*$ PA 15224,17037581,0,1
533,352583,352583,a96869,b495,Cuco's Mexican Restaurant,Verona,53593,47,43.0028431,-89.5328228,3.0,1050 N Edge Trl,0,T9QjpTZPcWEa3i96tdLHbw,Cuco's Mexican Restaurant,Madison,53593,167,43.002784,-89.532407,3.9,1050 North Edge Trail$*$ Verona$*$ WI 53593,17503681,0,1
422,283716,283716,a57051,b582,Los Dos Molinos,Phoenix,85042,333,33.367178,-112.073681,3.5,8646 S Central Ave,0,46hnat0aLao-qYWZkN9aBg,Los Dos Molinos,Phoenix,85042,353,33.367364,-112.073363,4.0,8646 South Central Avenue$*$ Phoenix$*$ AZ 85042,17027644,0,1
140,86145,86145,a107284,b413,Johnson Public House,Madison,53703,132,43.084781,-89.376208,4.0,908 E Johnson St,0,yvqMh9kTv3Kx-tocc0DFBQ,Tornado Steak House,Madison,53703,646,43.0726,-89.3844,4.4,116 S Hamilton St$*$ Madison$*$ WI 53703,17502709,0,0
522,347562,347562,a93925,b416,Sushi Muramoto,Madison,53705,206,43.07224384,-89.45233392,4.0,546 N Midvale Blvd,0,2qjvYspb3bEmCaw1vmSk0g,Sushi Muramoto,Madison,53705,509,43.071994,-89.451384,4.3,546 N Midvale Blvd$*$ Madison$*$ WI 53705,17503375,0,1
560,359614,359614,a80925,b1679,Los Zarapes,Mahomet,61853,6,40.20195269,-88.4021759,5.0,804 Eastwood Dr,0,WU7HnTim3UgqdtpKCavtOw,Los Zarapes,Champaign,61853,48,40.195759,-88.395815,3.7,840 Eastwood Drive$*$ Mahomet$*$ IL 61853,17317874,0,1
224,141679,141679,a29859,b2359,Gold Mine Bar & Grill,Las Vegas,89109,19,36.11792342,-115.1607698,2.5,3950 Koval Ln,0,1BtNZszIr8LvtPOhN0X4Mw,Wolfgang Puck Bar & Grill,Las Vegas,89109,336,36.10222,-115.169516,4.2,3799 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89109,16980959,0,0
201,124358,124358,a420,b2390,The Chandelier,Las Vegas,89109,904,36.11008368,-115.173179,4.0,The Cosmopolitan Of Las Vegas$*$ 3708 Las Vegas Blvd S,0,Pob7ibbNT29--69nxXEP2g,The Wynn Buffet,Las Vegas,89109,707,36.129444,-115.166111,4.1,3131 S Las Vegas Boulevard$*$ Las Vegas$*$ NV 89109,16977686,0,0
516,343818,343818,a38227,b431,Taqueria Guadalajara,Madison,53715,291,43.055569,-89.3974165,4.0,1033 S Park St,0,S3-JpB5dBhMXmauMqeoN-g,Taqueria Guadalajara,Madison,53715,250,43.055835,-89.397564,4.2,1033 S Park St$*$ Madison$*$ WI 53715,17503338,0,1
154,89583,89583,a142910,b432,Bahn Thai Restaurant,Madison,53703,57,43.0806833,-89.3684867,3.5,944 Williamson St,0,cCBySJPR4i7WFfEt8gjArg,L'Etoile Restaurant,Madison,53703,334,43.075786,-89.383231,4.2,1 South Pinckney Street$*$ Madison$*$ WI 53703,17503345,0,0
282,193423,193423,a85829,b2304,Art of Shaving,Las Vegas,89109,9,36.12433968,-115.1677671,4.0,Palazzo Hotel$*$ 3355 Las Vegas Blvd S,0,gRQjIB3lGL45IEb0iwG-dw,Earl of Sandwich,Las Vegas,89109,631,36.11077,-115.17282,4.7,Planet Hollywood$*$ 3667 South Las Vegas Boulevard$*$ The Strip$*$ Las Vegas$*$ NV 89109,16978241,0,0
269,175073,175073,a76348,b2390,The  Wedding Chapel,Las Vegas,89109,11,36.1245859,-115.1716132,4.0,Treasure Island$*$ 3300 S Las Vegas Blvd,0,rXtKk6YBADimPzUIlpn16w,The Wynn Buffet,Las Vegas,89109,707,36.129444,-115.166111,4.1,3131 S Las Vegas Boulevard$*$ Las Vegas$*$ NV 89109,16977686,0,0
14,16143,16143,a48161,b392,South End Fieldhouse,Charlotte,28203,3,35.2205488,-80.8583586,4.5,1327 S Mint St,0,JS_SUNjiwXvkzCz-QVMGCQ,Sullivan's Steakhouse,Charlotte,28203,486,35.210526,-80.859246,4.1,1928 South Boulevard$*$ Charlotte$*$ NC 28203,17148288,0,0
363,246339,246339,a28746,b1610,Roland Realty,Champaign,61820,7,40.10769,-88.239062,4.5,901 S 1st St,0,FsRYheupb38V0_JRD-u2Bg,Dos Reales,Champaign,61820,383,40.1298,-88.2582,4.2,1407 N Prospect Ave$*$ Champaign$*$ IL 61820,17317281,0,0
448,299082,299082,a99257,b322,Smokey Joe's Cafe,Charlotte,28205,19,35.2042232,-80.8013468,4.5,510 Briar Creek Rd,0,HfagQNcFAdexV3ZdifSWQw,Lupie's Cafe,Charlotte,28205,614,35.204228,-80.808404,4.4,2718 Monroe Road$*$ Charlotte$*$ NC 28205,17147655,0,0
502,334782,334782,a62702,b448,Smoky Jon's No 1 B-B-Q,Madison,53704,177,43.123698,-89.355581,4.0,2310 Packers Ave,0,UFyzcr1y2r3y-e_tNpA9VA,Smoky Jon's #1 BBQ,Madison,53704,262,43.123226,-89.355359,4.1,2310 Packers Ave$*$ Madison$*$ WI 53704,17503341,0,1
300,206782,206782,a121636,b2386,The Quad Las Vegas Resort & Casino,Las Vegas,89109,597,36.1238426,-115.1702195,2.0,The Quad Las Vegas Resort & Casino$*$ 3535 S Las Vegas Blvd,0,O6-BlCviQBIEcGW4ll6ZsQ,Andre's Restaurant - Monte Carlo Resort and Casino,Las Vegas,89109,115,36.1045,-115.175556,4.2,Monte Carlo Resort and Casino$*$ 3770 Las Vegas Boulevard South$*$ The Strip$*$ Las Vegas$*$ NV 89109,16977392,0,0
131,82543,82543,a74600,b402,The Great Dane,Madison,53703,604,43.07444548,-89.38006371,4.0,123 E Doty St,0,EgtyW19V-64c6PmRuvzSEA,The Old Fashioned,Madison,53703,1610,43.076277,-89.383534,4.8,23 N Pinckney St$*$ Madison$*$ WI 53703,17502451,0,0
466,308763,308763,a140969,b1684,City Girl Yogurt,Urbana,61801,16,40.1167919,-88.205811,3.5,202 E University Ave,0,rVF2CysgSp8BxdYYF0lEGA,City Girl Yogurt,Champaign,61801,51,40.116458,-88.206198,3.7,202 E. University Ave$*$ Urbana$*$ IL 61801,17317931,0,1
479,319080,319080,a51862,b588,The Capital Grille,Phoenix,85016,296,33.51023428,-112.027201,4.0,2502 E Camelback Rd,0,ymtJtXwsJUClLNDepV1piQ,TexAz Grill,Phoenix,85016,228,33.524011,-112.046982,4.0,6003 North 16th Street$*$ Phoenix$*$ AZ 85016,17029676,0,0
93,66607,66607,a134700,b499,China One West,Madison,53719,11,43.055135,-89.497286,2.5,518 Grand Canyon Dr,0,e-finkL51hroOJ0GZ8jcXA,Ginza of Tokyo West,Madison,53719,178,43.0567,-89.4973,3.9,6734 Odana Rd$*$ Madison$*$ WI 53719,17502221,0,0
383,256180,256180,a42746,b1697,Fiesta Cafe,Champaign,61820,53,40.1147989,-88.2384807,3.5,216 S 1st St,0,_a6jhRFIgOe74U73T5B-Ww,Fiesta Cafe,Champaign,61820,74,40.1151,-88.2385,3.6,216 S 1st St$*$ Champaign$*$ IL 61820,17317301,0,1
104,72552,72552,a29068,b418,Ian's Pizza By The Slice,Madison,53703,152,43.0728935,-89.3956356,4.0,319 N Frances St,0,c7ZTyqSG4v4ZVwK3vuDklQ,Ian's Pizza,Madison,53703,515,43.0747352,-89.3862121,4.3,100 State St$*$ Madison$*$ WI 53703,17502268,0,0
151,88900,88900,a131582,b454,Buraka Restaurant,Madison,53703,40,43.0836473,-89.3642491,3.5,1210 Williamson Street,0,qaa9M_pUfOv0BPRcnulk4g,Wasabi Japanese Restaurant,Madison,53703,241,43.0747,-89.3925,4.1,449 State St Ste 2G$*$ Madison$*$ WI 53703,17502747,0,0
288,200855,200855,a93667,b2330,Lacoste Nevada,Las Vegas,89109,3,36.1190372,-115.176005,4.5,3500 Las Vegas Boulevard S,0,WJGYrKVRuUTXt9ot0vyc9A,Tacos el Gordo,Las Vegas,89109,222,36.1317765,-115.1650152,4.4,3049 S Las Vegas Boulevard$*$ Las Vegas$*$ NV 89109,16982474,0,0
565,359939,359939,a7405,b1907,Mother India's Cafe,Edinburgh,EH1 1LT,74,55.948131,-3.1859835,4.0,3-5 Infirmary Street,0,22nkIQ4BeSYwsyaPOczOeA,Mother India's Cafe,Edinburgh,EH1 1LT,279,55.94800278,-3.18625,4.4,3-5 Infirmary Street$*$ Old Town$*$ Edinburgh EH1 1LT,7600188,0,1
1,2028,2028,a106870,b3561,Trattoria Roman Gardens,Cleveland,44106,137,41.5088723,-81.5977166,3.5,12207 Mayfield Rd,0,nIJr76IGIGS3nkmieY3Vow,Trattoria on the Hill,Cleveland,44106,795,41.508837,-81.59765,4.2,12207 Mayfield Rd$*$ Cleveland$*$ OH 44106,16963129,0,1
555,358921,358921,a3218,b1992,Cairngorm Coffee Co,Edinburgh,EH2 1EP,26,55.95339011,-3.200593516,4.5,41a Frederick Street,0,5s8uqAOOhGKGcycoO4zTCg,Cairngorm Coffee Co.,Edinburgh,EH2 1EP,30,55.953689,-3.20033,3.8,41A Frederick Street$*$ New Town$*$ Edinburgh EH2 1EP,7601960,0,1
226,142909,142909,a32855,b2391,MaDD HouSe TaTToos,Las Vegas,89109,8,36.14349383,-115.1492446,4.0,557 E Sahara Ave$*$ Ste 110 A,0,1UmAo-UZoDcAkHd0O2kfsg,Hash House a Go Go,Las Vegas,89109,696,36.118212,-115.172554,4.1,3535 Las Vegas Blvd S$*$ Las Vegas$*$ NV 89109,16981709,0,0
253,165001,165001,a70359,b2399,Diamond Chinese Restaurant,Las Vegas,89109,85,36.1268091,-115.1766671,4.0,3449 Industrial Rd,0,iRFaq249LVEFGeXLzPULnQ,Eiffel Tower Restaurant,Las Vegas,89109,420,36.1125,-115.172222,4.1,3655 South Las Vegas Boulevard$*$ The Strip$*$ Las Vegas$*$ NV 89109,16978254,0,0
503,336528,336528,a99320,b473,Murphy's Bar and Restaurant,Madison,53704,20,43.149324,-89.399159,4.0,5344 Hwy 113,0,s44Pr0mXmAtxiRqz_m9CPA,Takumi Japanese Restaurant,Madison,53704,194,43.1246,-89.3102,4.0,4222 E Towne Blvd$*$ Madison$*$ WI 53704,17502689,0,0
240,155158,155158,a56188,b2390,The Rockhouse,Las Vegas,89109,183,36.122736,-115.170273,3.0,3355 S Las Vegas Blvd$*$ Ste 3200,0,7GGJlp1aWfcXGQz6q7SkXQ,The Wynn Buffet,Las Vegas,89109,707,36.129444,-115.166111,4.1,3131 S Las Vegas Boulevard$*$ Las Vegas$*$ NV 89109,16977686,0,0
176,106695,106695,a105666,b524,Nellos Pizza,Phoenix,85044,170,33.3313761,-111.982699,4.0,4710 E Warner Rd$*$ Ste 10,0,TVYJx5iUkLJFiuiXc8rxEQ,Nello's Pizza,Phoenix,85044,404,33.330861,-111.982886,4.3,4710 E Warner Road$*$ Phoenix$*$ AZ 85044,17028076,0,1
472,315124,315124,a105136,b590,Nostra Style House,Phoenix,85004,3,33.458996,-112.066025,4.5,610 E Roosevelt St$*$ Ste 141,0,_tBfV9GR4oW6kb2yf8MIxA,Nobuo at Teeter House,Phoenix,85004,179,33.449564,-112.065674,4.0,622 East Adams Street$*$ Downtown$*$ Phoenix$*$ AZ 85004,17031944,0,0
297,205468,205468,a117461,b2313,Overlook Grill,Las Vegas,89109,111,36.10963296,-115.1741339,3.5,The Cosmopolitan Of Las Vegas$*$ 3708 Las Vegas Blvd S,0,uwBJlA27pNywYTlPBiSqVw,Mesa Grill,Las Vegas,89109,1410,36.116111,-115.1744,4.5,3570 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89109,16979381,0,0
81,59676,59676,a57401,b1577,Leaf & Bean,Pittsburgh,15222,38,40.4521039,-79.9818756,4.0,2200 Penn Ave,0,b4Atbd4V8UKEoXzhbL-o5g,Meat & Potatoes,Pittsburgh,15222,1865,40.4431017,-80.0012236,4.2,649 Penn Ave$*$ Pittsburgh$*$ PA 15222,17042327,0,0
520,347184,347184,a75376,b439,Great Dane Pub & Brewing,Madison,53705,153,43.0711419,-89.4523269,3.5,357 Price Pl,0,mzq_UgBRWsxTjb7oBNajWA,Great Dane Pub & Brewery,Madison,53705,368,43.0705,-89.4522,4.1,357 Price Pl$*$ Madison$*$ WI 53705,17502235,0,1
317,225177,225177,a127205,b545,Panda Express,Phoenix,85032,14,33.61099223,-111.9963694,3.0,3923 E Thunderbird Rd$*$ Suite 111,0,7wgNlcLTfQq8CHBob7AGHg,Wang's Express,Phoenix,85032,227,33.640363,-111.978884,4.2,4747 East Bell Road$*$ Northeast Phoenix$*$ Phoenix$*$ AZ 85032,17029944,0,0
123,77778,77778,a42585,b453,Cafe Social,Madison,53703,3,43.0697329,-89.393678,4.0,102 N Bedford St Madison Wi,0,3EkVn5_YsP0q6LvMfTsVuQ,Natt Spil,Madison,53703,267,43.0745,-89.3799,4.1,211 King St$*$ Madison$*$ WI 53703,17503325,0,0
147,88632,88632,a126597,b446,Lao Laan-Xang Restaurant,Madison,53703,232,43.083166,-89.364985,4.5,1146 Williamson St,0,VMPSdoBgJuyS9t_x_caTig,Kabul Afghanistan Restaurant,Madison,53703,278,43.0747,-89.3943,4.1,540 State St$*$ Madison$*$ WI 53703,17502314,0,0
413,275860,275860,a75237,b3570,Tomo Steakhouse & Sushi Bar,Strongsville,44136,25,41.306052,-81.833935,3.0,15163 Pearl Rd,0,UsU-DyBjTL8vwAcn3kHrkA,Shinto Japanese Steakhouse & Sushi Bar,Cleveland,44136,471,41.293781,-81.835382,4.2,17070 Pearl Rd$*$ Strongsville$*$ OH 44136,16962745,0,0
287,200021,200021,a91495,b2342,La Cave,Las Vegas,89109,12,36.111911,-115.1726,4.0,Paris Hotel and Casino$*$ 3655 Las Vegas Blvd S,0,kvnCO6xE3WB2Z768ahED9A,La Creperie,Las Vegas,89109,300,36.1125,-115.172222,4.3,3655 S Las Vegas Boulevard$*$ Las Vegas$*$ NV 89109,16979034,0,0
553,358639,358639,a139791,b324,Lang Van Vietnamese,Charlotte,28215,243,35.2367091,-80.7745147,4.0,3019 Shamrock Dr,0,KEGLWeFAWXvo0W2LnujhtQ,Lang Van,Charlotte,28215,541,35.23666,-80.77507,4.4,3019 Shamrock Drive$*$ Charlotte$*$ NC 28215,17147586,0,1
295,204745,204745,a112882,b2341,The Mirage,Las Vegas,89109,1748,36.12130089,-115.1753655,3.5,3400 Las Vegas Blvd S,0,DfgZlNgKwBvCpA_0alumXw,Le Cirque,Las Vegas,89109,243,36.111712,-115.17534,4.3,3600 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89109,16979122,0,0
50,42069,42069,a106413,b2353,BAZ Las Vegas,Las Vegas,89119,74,36.1242284,-115.1684696,4.5,The Palazzo Theater$*$ 3325 S Las Vegas Blvd,0,VsNL5l5hNLMdm4LUIH0KoQ,Slice of Vegas,Las Vegas,89119,210,36.092089,-115.172992,4.3,3930 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89119,16982662,0,0
534,353749,353749,a77777,b3590,PJ McIntyres Irish Pub,Cleveland,44111,47,41.4500019,-81.81635643,4.0,17119 Lorain Ave,0,4t6z1AT8qBfwaBm13d1GMA,P.J. McIntyre's Irish Pub,Cleveland,44111,298,41.450102,-81.816113,4.2,17119 Lorain Ave$*$ Cleveland$*$ OH 44111,16963465,0,1
7,8940,8940,a31300,b366,Cajun Yard Dog,Charlotte,28277,194,35.0971238,-80.78056097,4.0,8036 Providence Rd$*$ Ste 900,0,KbLI0QELlAwbfDUVwo43DQ,Cajun Yard Dog,Charlotte,28277,471,35.098556,-80.778609,4.2,8036 Providence Road$*$ Suite 900$*$ Charlotte$*$ NC 28277,17146864,0,1
58,45632,45632,a137452,b2353,FIT4MOM Las Vegas,Las Vegas,89119,11,36.0671511,-115.1757889,5.0,6605 S Las Vegas Blvd,0,o-h-WpzS1id-Ffz-cC9y1Q,Slice of Vegas,Las Vegas,89119,210,36.092089,-115.172992,4.3,3930 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89119,16982662,0,0
161,94353,94353,a72064,b3582,Pizza House,Cleveland,44118,7,41.5157788,-81.5686335,3.5,3108 Mayfield Rd,0,sYMAijY2oRrd71KRHKoIDA,Pizza Bogo,Cleveland,44118,408,41.501181,-81.55688,4.2,13434 Cedar Road$*$ Cleveland Heights$*$ OH 44118,16964460,0,0
94,66613,66613,a134701,b467,La Bamba,Madison,53719,49,43.0496415,-89.5032438,3.0,710 S Gammon Rd,0,VSu7GYn-Zln5TLZh_fMtvQ,La Mestiza,Madison,53719,200,43.0561,-89.4952,4.0,6644 Odana Road$*$ Madison$*$ WI 53719,17502327,0,0
453,302375,302375,a11092,b3535,Dunkin' Donuts,Medina,44256,5,41.1366981,-81.7858759,1.0,2739 Medina Rd,0,vFx__bMen1IMy0i7vNN-kg,Dan's Dogs,Cleveland,44256,308,41.139258,-81.86435,4.4,111 W Liberty St$*$ Medina$*$ OH 44256,16960041,0,0
223,141119,141119,a29542,b2359,Julio's Tacos & Grill,Las Vegas,89109,7,36.11285901,-115.1634135,4.0,4178 Koval Ln,0,mrjhrTycW0iLumjMZCfrzw,Wolfgang Puck Bar & Grill,Las Vegas,89109,336,36.10222,-115.169516,4.2,3799 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89109,16980959,0,0
493,329928,329928,a140820,b2335,Pizza House & Bakery,Las Vegas,89146,11,36.1586043,-115.236715,5.0,6475 W Charleston Blvd$*$ Unit 160,0,tRdVEMAtQRdz-Cgw-ff4-A,Hash House a Go Go,Las Vegas,89146,1116,36.144315,-115.240246,4.3,6800 W Sahara Ave$*$ Las Vegas$*$ NV 89146,16978652,0,0
31,25271,25271,a25995,b554,Domino's Pizza,Phoenix,85014,14,33.5095292,-112.0609579,2.0,914 E Camelback Rd,0,U8CnzJzi54gkveXx9xnVYQ,Oregano's Pizza Bistro,Phoenix,85014,348,33.509437,-112.060141,4.1,1008 E Camelback Rd$*$ Phoenix$*$ AZ 85014,17028233,0,0
598,361139,361139,a102232,b1902,Roseleaf,Edinburgh,EH6 6EW,66,55.9759664,-3.1735186,4.0,23/24 Sandport Place$*$ Leith,0,366NwqHwhOic5pBN1DjmDQ,Roseleaf Bar Cafe,Edinburgh,EH6 6EW,163,55.976644,-3.173679,4.7,23-24 Sandport Place$*$ Leith$*$ Edinburgh EH6 6EW,7601577,0,1
134,84737,84737,a101939,b444,In The Company Of Thieves,Madison,53703,14,43.0847458,-89.376172,3.0,908 E Johnson St,0,x8h3A9dOKux99qAp6Bakbg,The Roman Candle,Madison,53703,303,43.0815,-89.3671,4.1,1054 Williamson St Ste A$*$ Madison$*$ WI 53703,17502578,0,0
155,89589,89589,a142910,b446,Bahn Thai Restaurant,Madison,53703,57,43.0806833,-89.3684867,3.5,944 Williamson St,0,cCBySJPR4i7WFfEt8gjArg,Kabul Afghanistan Restaurant,Madison,53703,278,43.0747,-89.3943,4.1,540 State St$*$ Madison$*$ WI 53703,17502314,0,0
419,277753,277753,a67128,b520,Park Central Mall,Phoenix,85013,11,33.4840158,-112.0764497,3.0,3121 N 3rd Ave,0,thHp32q_QMbxrwOhy88pAQ,Lux Central,Phoenix,85013,324,33.5001935,-112.0738985,4.3,4400 North Central Avenue$*$ Midtown$*$ Phoenix$*$ AZ 85013,17027700,0,0
232,148271,148271,a47789,b2399,Lucky's Restaurant,Las Vegas,89109,4,36.13193741,-115.1520218,3.0,Inside Lvcc Grand Lobby$*$ 3150 Paradise Rd,0,E-0yfHPIoQk6FwXt6W6UYA,Eiffel Tower Restaurant,Las Vegas,89109,420,36.1125,-115.172222,4.1,3655 South Las Vegas Boulevard$*$ The Strip$*$ Las Vegas$*$ NV 89109,16978254,0,0
278,188789,188789,a83016,b2359,Pete Rose Sports Bar And Grill,Las Vegas,89109,69,36.1068162,-115.1721927,3.5,3743 Las Vegas Blvd S$*$ Ste 100,0,y4jBVV_r8sVnz0WBEQrvMQ,Wolfgang Puck Bar & Grill,Las Vegas,89109,336,36.10222,-115.169516,4.2,3799 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89109,16980959,0,0
544,356582,356582,a125979,b536,Flower Child,Phoenix,85012,148,33.50961025,-112.071953,4.5,100 E Camelback Rd,0,m506zjQ67j0msTfANwB6RA,China Chili,Phoenix,85012,348,33.485801,-112.069146,4.2,302 East Flower Street$*$ Midtown$*$ Phoenix$*$ AZ 85012,17025821,0,0
325,229472,229472,a78616,b381,Harvest Moon Grille,Charlotte,28202,102,35.22911,-80.84119,3.5,The Dunhill Hotel$*$ 237 N Tryon St,0,bpK5y21d-i74v-1ID2uAGQ,Capital Grille,Charlotte,28202,536,35.228159,-80.841882,4.1,201 N Tryon Street$*$ Charlotte$*$ NC 28202,17146871,0,0
71,50956,50956,a8782,b510,La Grande Orange Grocery,Phoenix,85018,693,33.50231263,-111.9957522,4.0,4410 N 40th St,0,D3dAx-QW_uuClz4MambeHA,La Grande Orange Grocery,Phoenix,85018,736,33.501531,-111.995564,4.5,4410 North 40th Street$*$ Biltmore/Arcadia$*$ Phoenix$*$ AZ 85018,17027423,0,1
