,_id,l_ID,r_ID,l_name,l_city,l_zipcode,l_review_count,l_latitude,l_longitude,l_rating,l_address,l_zomato_id,l_yelp_id,r_name,r_city,r_zipcode,r_review_count,r_latitude,r_longitude,r_rating,r_address,r_zomato_id,r_yelp_id,predicted
7186,7186,a75661,b527,Yen Sushi & Sake Bar,Phoenix,85308,380,33.640832,-112.151282,4,17037 N 43rd Ave,0,LtNgP4FqXp5nMFOHErK8cw,Yen Sushi & Sake Bar,Phoenix,85308,238,33.639965,-112.15165,4.3,17037 North 43rd Avenue #A3$*$ Deer Valley$*$ Phoenix$*$ AZ 85308,17030919,0,1
8704,8704,a22465,b334,Firebirds Wood Fired Grill,Charlotte,28277,226,35.0620547,-80.815844,4,7716 Rea Rd,0,npWIa3dIPEV1MTaZNq6AUA,Firebirds Wood Fired Grill,Charlotte,28277,1271,35.0620547,-80.815844,4.3,7716 Rea Road$*$ Charlotte$*$ NC 28277,17147236,0,1
8940,8940,a31300,b366,Cajun Yard Dog,Charlotte,28277,194,35.0971238,-80.78056097,4,8036 Providence Rd$*$ Ste 900,0,KbLI0QELlAwbfDUVwo43DQ,Cajun Yard Dog,Charlotte,28277,471,35.098556,-80.778609,4.2,8036 Providence Road$*$ Suite 900$*$ Charlotte$*$ NC 28277,17146864,0,1
9379,9379,a41637,b374,Zeitouni Grill,Charlotte,28277,178,35.06862,-80.842617,4,3419 Toringdon Way$*$ Ste A-124,0,ExtP8z3SVyut_RICc9i_DA,Zeitouni,Charlotte,28277,274,35.068638,-80.842915,4.2,3419 Toringdon Way Suite 124$*$ Charlotte$*$ NC 28277,17150451,0,1
11357,11357,a110655,b356,131 Main,Charlotte,28277,217,35.0340918,-80.8089294,4,9886 Rea Rd,0,110iMPMPEEjFlf8HKVq84g,131 Main,Charlotte,28277,594,35.034243,-80.805375,4.2,9886 Rea Road$*$ Charlotte$*$ NC 28277,17148614,0,1
11882,11882,a120276,b390,Ilios Noche,Charlotte,28277,195,35.05321461,-80.77040053,4,11508 Providence Rd,0,c-l4nDPZcEwapEiV-Xf08w,Ilios Noche,Charlotte,28277,695,35.054023,-80.769803,4.1,11508 Providence Road$*$ Suite I$*$ Charlotte$*$ NC 28277,17147444,0,1
12473,12473,a6428,b503,Cibo,Phoenix,85003,1457,33.45496,-112.079908,4.5,603 N 5th Ave,0,9a3DrZvpYxVs3k_qwlCNSw,Cibo,Phoenix,85003,1062,33.454891,-112.080035,4.7,603 North 5th Avenue$*$ Downtown$*$ Phoenix$*$ AZ 85003,17025909,0,1
13593,13593,a4718,b392,Sullivan's Steakhouse,Charlotte,28203,185,35.2102729,-80.8600584,4,1928 South Blvd$*$ Ste 200,0,UByM7N0mF-ylIGUuIWHCtA,Sullivan's Steakhouse,Charlotte,28203,486,35.210526,-80.859246,4.1,1928 South Boulevard$*$ Charlotte$*$ NC 28203,17148288,0,1
13688,13688,a6316,b312,Price's Chicken Coop,Charlotte,28203,302,35.2143631,-80.8575705,4,1614 Camden Rd,0,_5UAFrD3EDgJO1aZgRxH7w,Price's Chicken Coop,Charlotte,28203,1093,35.214563,-80.857329,4.5,1614 Camden Road$*$ Charlotte$*$ NC 28203,17147994,0,1
15034,15034,a30335,b397,Thai Taste,Charlotte,28203,220,35.210017,-80.855878,3.5,324 East Blvd,0,aIJqDWUt10iS45zYCr0KcQ,Thai Taste,Charlotte,28203,459,35.210508,-80.856277,4.1,324 East Boulevard$*$ Dilworth$*$ Charlotte$*$ NC 28203,17148369,0,1
15969,15969,a44645,b332,Ru San's,Charlotte,28203,381,35.19773768,-80.85271905,3.5,2440 Park Rd,0,osSwv6CJy5hDKQdOKeyTow,Ru Sans,Charlotte,28203,1182,35.197861,-80.851802,4.3,2440 Park Road$*$ Charlotte$*$ NC 28203,17148099,0,1
16636,16636,a63958,b307,Bad Daddy's Burger Bar,Charlotte,28203,386,35.199097,-80.840805,4,1626 East Blvd,0,yWUBX9Pe6pzh1PjVj04UmQ,Bad Daddy's,Charlotte,28203,1363,35.199007,-80.8408317,4.6,1626 East Boulevard$*$ Charlotte$*$ NC 28203,17148552,0,1
17310,17310,a84256,b333,Mac's Speed Shop,Charlotte,28203,68,35.2029595,-80.8643709,4,2511 S Blvd,0,FSB3Jb4t11KkMyEi_7-s6Q,Mac's Speed Shop,Charlotte,28203,1673,35.202942,-80.864358,4.3,2511 South Boulevard$*$ Charlotte$*$ NC 28203,17147666,0,1
17941,17941,a98996,b336,300 East,Charlotte,28203,439,35.2105533,-80.8566726,4,300 East Blvd,0,D2ojX9bvE0_-aIj9BhdZZA,300 East,Charlotte,28203,617,35.210862,-80.856527,4.3,300 East Boulevard$*$ Charlotte$*$ NC 28203,17146635,0,1
18005,18005,a101638,b400,Luna's Living Kitchen,Charlotte,28203,286,35.20872205,-80.86143192,4.5,2102 S Blvd$*$ Ste 150,0,TLWZK8NIpn4zI4_yut-q6Q,Luna's Living Kitchen,Charlotte,28203,244,35.208548,-80.86153,4.1,2102 South Boulevard$*$ Suite 300$*$ Charlotte$*$ NC 28203,17150072,0,1
18115,18115,a104233,b400,Luna's Living Kitchen,Charlotte,28203,214,35.20902658,-80.86115551,4.5,2000 S Blvd$*$ Ste 300,0,R1jJQi2yR44D_2ileqr8kA,Luna's Living Kitchen,Charlotte,28203,244,35.208548,-80.86153,4.1,2102 South Boulevard$*$ Suite 300$*$ Charlotte$*$ NC 28203,17150072,0,1
18923,18923,a7311,b2332,Bonito Michoacan,Las Vegas,89103,481,36.1221978,-115.2089027,4,3715 S Decatur Blvd,0,lOQPeguczAueJnLmDUTfGg,Bonito Michoacan,Las Vegas,89103,255,36.122262,-115.208369,4.4,3715 S Decatur Boulevard$*$ Las Vegas$*$ NV 89103,16977626,0,1
19169,19169,a18748,b2398,Carnival World & Seafood Buffet,Las Vegas,89103,255,36.11781274,-115.1874098,2.5,Rio All-Suite Hotel & Casino$*$ 3700 W Flamingo Road,0,KhWl4Mwhm_Oqq0zIIz-0wQ,Carnival World Buffet,Las Vegas,89103,382,36.1157,-115.187,4.1,3700 W Flamingo Rd$*$ Las Vegas$*$ NV 89103,16977828,0,1
19576,19576,a24641,b2362,Nora's Italian Cuisine,Las Vegas,89103,973,36.1148522,-115.2203694,4,5780 W Flamingo Rd,0,pHJu8tj3sI8eC5aIHLFEfQ,Nora's Cuisine,Las Vegas,89103,548,36.114777,-115.223348,4.2,6020 W Flamingo Road$*$ Las Vegas$*$ NV 89103,16979551,0,1
19693,19693,a27648,b2398,Carnival World Buffet,Las Vegas,89103,1374,36.11788994,-115.1893946,3.5,Rio All-Suite Hotel & Casino$*$ 3700 W Flamingo Road,0,FLMxWQO-ckCQmGZhU9OQgw,Carnival World Buffet,Las Vegas,89103,382,36.1157,-115.187,4.1,3700 W Flamingo Rd$*$ Las Vegas$*$ NV 89103,16977828,0,1
20022,20022,a41410,b2303,In-N-Out Burger,Las Vegas,89103,853,36.1013195,-115.1821862,4,4888 Dean Martin Dr,0,nVAJZ6BJ9PPlxDXn976R6A,In-N-Out Burger,Las Vegas,89103,1071,36.101009,-115.182811,4.8,4888 Dean Martin Drive$*$ Las Vegas$*$ NV 89103,16978756,0,1
23660,23660,a133408,b317,Taqueria La Unica,Indian Trail,28079,180,35.0678584,-80.6775771,4.5,4305 Old Monroe Rd,0,57aBx6Mo_VRk_kMA8J5Efg,Taqueria la Unica,Charlotte,28079,345,35.067698,-80.678044,4.5,4305 Old Monroe Road$*$ NC 28079,17149730,0,1
23845,23845,a1164,b1527,BreadWorks Bakery,Pittsburgh,15212,19,40.46194,-80.01929,4.5,2110 Brighton Rd,0,Uh6EhbFKgQlhVpfvnqsfHA,Breadworks,Pittsburgh,15212,478,40.461944,-80.019057,4.5,2110 Brighton Rd$*$ Pittsburgh$*$ PA 15212,17036048,0,1
23888,23888,a7608,b1559,Legends of The North Shore,Pittsburgh,15212,101,40.4566092,-80.0015054,4,500 E N Ave,0,QeShrs6cUNBjJoTCkJiB0g,Legends of the North Shore Restaurant,Pittsburgh,15212,629,40.4565599,-80.0015124,4.3,500 E North Avenue$*$ Pittsburgh$*$ PA 15212,17036766,0,1
24156,24156,a80159,b1518,Max's Allegheny Tavern,Pittsburgh,15212,176,40.4551576,-79.999728,4,537 Suismon St,0,_-W_hRQRDEqVdO1WKGa-DQ,Max's Allegheny Tavern,Pittsburgh,15212,983,40.455089,-80.000483,4.5,537 Suismon St$*$ Pittsburgh$*$ PA 15212,17036875,0,1
24860,24860,a23917,b592,Spinato's Pizzeria,Phoenix,85014,221,33.51700641,-112.0646513,4,5509 N 7th St,0,_mg5bYknpZgaWSfjQVmrJQ,Spinato's Pizza,Phoenix,85014,234,33.517438,-112.063844,4,5509 North 7th Street$*$ Midtown$*$ Phoenix$*$ AZ 85014,17029287,0,1
25434,25434,a26530,b555,Sierra Bonita Grill,Phoenix,85014,304,33.537786,-112.064608,4,6933 N 7th St,0,J5ebC7fKqrSF8KuS8d6hgw,Sierra Bonita Grill,Phoenix,85014,342,33.537881,-112.064903,4.1,6933 North 7th Street$*$ Midtown$*$ Phoenix$*$ AZ 85014,17029205,0,1
26254,26254,a38147,b553,Cherryblossom Noodle Cafe,Phoenix,85014,817,33.50980204,-112.0610866,4,914 E Camelback Rd,0,fT6Uwl6abRQfiNgxre_qbg,Cherryblossom Noodle Cafe,Phoenix,85014,316,33.509437,-112.061628,4.1,914 East Camelback Road$*$ Phoenix$*$ AZ 85014,17025780,0,1
26351,26351,a38808,b554,Oregano's Pizza Bistro,Phoenix,85014,417,33.5094801,-112.0601964,4,1008 E Camelback Rd,0,dUffgo9Lh_Vk9TLuFR5ywg,Oregano's Pizza Bistro,Phoenix,85014,348,33.509437,-112.060141,4.1,1008 E Camelback Rd$*$ Phoenix$*$ AZ 85014,17028233,0,1
26617,26617,a81422,b560,Luci's Healthy Marketplace,Phoenix,85014,425,33.5239465,-112.0478991,4,1590 E Bethany Home Rd,0,fjapWp89YVCeKvW51KUDQw,Luci's Healthy Marketplace & Coffee Bar,Phoenix,85014,246,33.523891,-112.047873,4.1,1590 East Bethany Home Road$*$ Midtown$*$ Phoenix$*$ AZ 85014,17030810,0,1
27051,27051,a119084,b535,The Fry Bread House,Phoenix,85014,128,33.49442904,-112.0606337,4,1003 E Indian School Rd,0,6KJoamvn2_o1UpBaOwy2IQ,The Fry Bread House,Phoenix,85014,337,33.494402,-112.060828,4.2,1003 East Indian School Road$*$ Midtown$*$ Phoenix$*$ AZ 85014,17026650,0,1
27261,27261,a79964,b533,Bobby Q,Phoenix,85051,1689,33.5610848,-112.115747,4.5,8501 N 27th Ave,0,VyVIneSU7XAWgMBllI6LnQ,Bobby-Q,Phoenix,85051,370,33.560598,-112.11678,4.2,8501 North 27th Avenue$*$ Phoenix$*$ AZ 85051,17025437,0,1
28687,28687,a63846,b2310,Archi's Thai Cafe,Las Vegas,89117,410,36.14715261,-115.2999764,4,9350 W Sahara Ave,0,qsJkjQoM3Hdg6Gtqp2S9_w,Archi's Thai Caf,Las Vegas,89117,424,36.144634,-115.298864,4.6,9350 West Sahara Avenue$*$ Summerlin South$*$ Las Vegas$*$ NV 89117,16981405,0,1
28967,28967,a72533,b2352,Sushi Fever,Las Vegas,89117,299,36.14319843,-115.2644564,4,7985 W Sahara Ave$*$ Ste 105,0,GkRF8rSvh9cOQuuPeDh9bg,Sushi Fever,Las Vegas,89117,279,36.143547,-115.265178,4.3,7985 W Sahara Ave Ste 105$*$ Las Vegas$*$ NV 89117,16980483,0,1
30774,30774,a142845,b2379,Mastrioni's,Las Vegas,89117,246,36.1291479,-115.3145433,4,3330 S Hualapai Way$*$ Ste 160,0,HaPwC4nxs6RPfe1pAQkQ4A,Mastrioni's,Las Vegas,89117,319,36.129276,-115.31503,4.2,3330 S Hualapai Way$*$ Las Vegas$*$ NV 89117,16977733,0,1
31835,31835,a85480,b2319,Le Thai,Las Vegas,89101,1117,36.16880181,-115.1398801,4,523 Fremont St,0,#NAME?,Le Thai,Las Vegas,89101,278,36.1687428,-115.1398662,4.5,523 Fremont St$*$ Las Vegas$*$ NV 89101,16982500,0,1
31844,31844,a85964,b2369,Carson Kitchen,Las Vegas,89101,1225,36.16787832,-115.1406405,4.5,124 S 6th St$*$ Ste 100,0,2iTsRqUsPGRH1li1WVRvKQ,Carson Kitchen,Las Vegas,89101,118,36.167937,-115.140467,4.2,124 S 6th St$*$ Las Vegas$*$ NV 89101,16983968,0,1
32658,32658,a3171,b3591,Mashiso Asian Grille,North Olmsted,44070,63,41.4194734,-81.8979624,4,24954 Brookpark Rd,0,yBbqFPuwFiaom435KOY4cg,Mashiso Asian Grille,Cleveland,44070,210,41.419094,-81.898564,4.2,24954 Brookpark Rd$*$ North Olmsted$*$ OH 44070,16964914,0,1
32789,32789,a18919,b3502,Fat Heads Brewery and Saloon,North Olmsted,44070,422,41.4264256,-81.8941989,4,24581 Lorain Rd,0,CuT2Xh3vAYvRfxUWlUo6oA,Fat Heads Brewery & Saloon,Cleveland,44070,1355,41.426678,-81.894256,4.9,24581 Lorain Rd$*$ North Olmsted$*$ OH 44070,16964400,0,1
33537,33537,a62454,b3565,Nuevo Acapulco,North Olmsted,44070,112,41.42733041,-81.89275423,3.5,24409 Lorain Rd,0,7D-ATDP9Ezr1ZehszsotOQ,Nuevo Acapulco,Cleveland,44070,541,41.426932,-81.892562,4.2,24409 Lorain Rd$*$ North Olmsted$*$ OH 44070,16962017,0,1
34299,34299,a114395,b3532,Charm Thai Restaurant,Parma,44134,114,41.3637374,-81.6853549,4,7426 Broadview Rd,0,Mgvs9XPJpR2Vo5D4Tb59sA,Charm Thai,Cleveland,44134,401,41.364533,-81.684778,4.4,7426 Broadview Rd$*$ Parma$*$ OH 44134,16963504,0,1
34304,34304,a115765,b3577,Kumo Japanese Seafood Buffet,Parma,44134,115,41.4052183,-81.6917077,3.5,1975 Snow Rd,0,pfyH89xsKRasjCp1j9z3vw,Kumo Japanese Seafood Buffet,Cleveland,44134,352,41.40502,-81.694859,4.2,1975 Snow Road$*$ Parma$*$ OH 44134,16964839,0,1
34423,34423,a8132,b2351,In-N-Out Burger,Las Vegas,89139,191,36.04062762,-115.1912562,4,3882 Blue Diamond Rd,0,Kbbm6Vd5UdbP10dwjBghRw,In-N-Out Burger,Las Vegas,89139,212,36.038179,-115.195721,4.3,3882 Blue Diamond Road$*$ Las Vegas$*$ NV 89139,16981248,0,1
35302,35302,a135819,b2368,Oyshi Sushi,Las Vegas,89139,969,36.047306,-115.244158,3.5,7775 S Rainbow Blvd$*$ Ste 145,0,Gaq3S9lmjXVcuDCZ8ulppw,Oyshi Sushi,Las Vegas,89139,483,36.047124,-115.243435,4.2,7775 S Rainbow Blvd Ste 145$*$ Las Vegas$*$ NV 89139,16981221,0,1
35382,35382,a6356,b512,Pappadeaux Seafood Kitchen,Phoenix,85029,906,33.587766,-112.115899,4,11051 N Black Canyon Hwy,0,whAwdYVty-jSNRhrYT2zHA,Pappadeaux Seafood Kitchen,Phoenix,85029,533,33.589345,-112.116384,4.4,11501 N Black Canyon Freeway$*$ Sunnyslope/North Mountain$*$ Phoenix$*$ AZ 85029,17028356,0,1
37813,37813,a41033,b2353,Slice of Vegas,Las Vegas,89119,430,36.09128,-115.174098,3.5,Mandalay Bay$*$ 3930 Las Vegas Blvd S$*$Ste 120,0,lKq4Qsz13FDcAVgp49uukQ,Slice of Vegas,Las Vegas,89119,210,36.092089,-115.172992,4.3,3930 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89119,16982662,0,1
39162,39162,a59131,b2328,Texas de Brazil,Las Vegas,89119,319,36.0701338,-115.1753307,4.5,6533 Las Vegas Blvd S,0,h7s4MRVvB726jWHCHiQ9kw,Texas de Brazil,Las Vegas,89119,763,36.0701369,-115.1753018,4.4,6533 S Las Vegas Blvd$*$ Las Vegas$*$ NV 89119,16981172,0,1
42058,42058,a106074,b2318,Yama Sushi,Las Vegas,89119,1536,36.11552045,-115.1349706,4,1350 E Flamingo Rd$*$ Ste 18,0,ugLqbAvBdRDc-gS4hpslXw,Yama Sushi,Las Vegas,89119,489,36.114809,-115.136073,4.5,1350 E Flamingo Rd$*$ Las Vegas$*$ NV 89119,16980968,0,1
44100,44100,a120042,b2358,Yard House Town Square,Las Vegas,89119,1049,36.06842674,-115.1780009,4,6593 Las Vegas Blvd S,0,A5Rkh7UymKm0_Rxm9K2PJw,Yard House,Las Vegas,89119,488,36.0682346,-115.1758636,4.2,6593 S Las Vegas Boulevard$*$ Las Vegas$*$ NV 89119,16980971,0,1
46609,46609,a49498,b419,Pizza Brutta,Madison,53711,264,43.0651567,-89.4164023,4.5,1805 Monroe St,0,kPr9rYEkGwbRLgUHvKljQQ,Pizza Brutta,Madison,53711,297,43.065207,-89.416452,4.3,1805 Monroe St$*$ Madison$*$ WI 53711,17503392,0,1
47007,47007,a78675,b411,Brasserie V,Madison,53711,263,43.0640503,-89.4180168,4,1923 Monroe St,0,Dcj69NZJnbJhK-YHP_nULA,Brasserie V,Madison,53711,487,43.064109,-89.41809,4.4,1923 Monroe St.$*$ Madison$*$ WI 53711,17503366,0,1
47524,47524,a116699,b403,Mickies Dairy Bar,Madison,53711,241,43.067439,-89.4129202,4,1511 Monroe St,0,uoUa8ugZLrly0bA268IqEg,Mickies Dairy Bar,Madison,53711,814,43.0676,-89.4128,4.7,1511 Monroe St$*$ Madison$*$ WI 53711,17502401,0,1
47936,47936,a14191,b585,Lon's At the Hermosa,Paradise Valley,85253,296,33.518225,-112.004898,4,5532 N Palo Cristi Rd,0,oj8qk3W7O9oq15VIs-vYJQ,Lon's - The Hermosa Inn,Phoenix,85253,225,33.518368,-112.004635,4,The Hermosa Inn$*$ 5532 North Palo Cristi Road$*$ Biltmore/Arcadia$*$ Phoenix$*$ AZ 85253,17027592,0,1
48090,48090,a79663,b585,The Hermosa Inn,Paradise Valley,85253,33,33.518225,-112.004898,4.5,5532 N Palo Cristi Rd,0,f-KUpaw28JfS6_a_Cv9zWQ,Lon's - The Hermosa Inn,Phoenix,85253,225,33.518368,-112.004635,4,The Hermosa Inn$*$ 5532 North Palo Cristi Road$*$ Biltmore/Arcadia$*$ Phoenix$*$ AZ 85253,17027592,0,1
49266,49266,a84399,b1584,Legume,Pittsburgh,15213,301,40.4503566,-79.9508477,4.5,214 N Craig St,0,vg55SAkrEmuHpWfIMtJjBQ,Legume Bistro,Pittsburgh,15213,693,40.450256,-79.950827,4.2,214 N Craig Street$*$ Pittsburgh$*$ PA 15213,17036767,0,1
49315,49315,a93648,b1582,Fuel & Fuddle,Pittsburgh,15213,227,40.4412454,-79.9566016,3.5,212 Oakland Ave,0,ehaoreB8IzKY8KvRGqxcUA,Fuel & Fuddle,Pittsburgh,15213,897,40.441192,-79.956663,4.2,212 Oakland Ave$*$ Pittsburgh$*$ PA 15213,17036469,0,1
49377,49377,a98037,b1510,Spice Island Tea House,Pittsburgh,15213,259,40.4400334,-79.9559915,4,253 Atwood St,0,Fpm3WvqtrAg2ueh_4pz7iA,Spice Island Tea House,Pittsburgh,15213,1109,40.440271,-79.956363,4.6,253 Atwood St$*$ Pittsburgh$*$ PA 15213,17037440,0,1
49484,49484,a102961,b1555,Union Grill,Pittsburgh,15213,261,40.4448085,-79.9484396,4,413 S Craig St,0,e9KXojla4OuVP7qcC5LNsg,Union Grill,Pittsburgh,15213,754,40.444846,-79.948567,4.3,413 S Craig St$*$ Pittsburgh$*$ PA 15213,17037604,0,1
49538,49538,a105877,b1538,Dave & Andy's,Pittsburgh,15213,197,40.4410237,-79.9575173,4.5,207 Atwood St,0,Hz1F5uruPe1kCsf5PIA6Sg,Dave & Andy's,Pittsburgh,15213,697,40.440987,-79.957225,4.4,207 Atwood St$*$ Pittsburgh$*$ PA 15213,17036293,0,1
50146,50146,a27126,b1567,Armstrong's Express,Bridgeville,15017,17,40.356976,-80.112662,4.5,609 Washington Ave,0,j1CRQHz60LoLBgfoS0loqg,Armstrong's Express,Pittsburgh,15017,387,40.35712,-80.112706,4.3,609 Washington Ave$*$ Bridgeville$*$ PA 15017,17037938,0,1
50285,50285,a37173,b1595,Cucina Bella,Bridgeville,15017,57,40.3496337,-80.0994194,4,1200 Pennsylvania Ave,0,cKbPGglAjIGG6MeVy7n8XQ,Cucina Bella,Pittsburgh,15017,571,40.349499,-80.100212,4.2,1200 Pennsylvania Ave$*$ Bridgeville$*$ PA 15017,17042274,0,1
50404,50404,a101492,b1592,Shouf's Cafe,Bridgeville,15017,49,40.3631094,-80.1104585,4.5,200 Washington Ave,0,X8KLsPEgLe4FuJwRU0tPag,Shouf's Cafe,Pittsburgh,15017,421,40.36311,-80.110292,4.2,200 Washington Ave$*$ Bridgeville$*$ PA 15017,17037747,0,1
50956,50956,a8782,b510,La Grande Orange Grocery,Phoenix,85018,693,33.50231263,-111.9957522,4,4410 N 40th St,0,D3dAx-QW_uuClz4MambeHA,La Grande Orange Grocery,Phoenix,85018,736,33.501531,-111.995564,4.5,4410 North 40th Street$*$ Biltmore/Arcadia$*$ Phoenix$*$ AZ 85018,17027423,0,1
50957,50957,a8782,b511,La Grande Orange Grocery,Phoenix,85018,693,33.50231263,-111.9957522,4,4410 N 40th St,0,D3dAx-QW_uuClz4MambeHA,La Grande Orange Pizzeria,Phoenix,85018,760,33.501531,-111.995564,4.5,4410 N 40th St$*$ Phoenix$*$ AZ 85018,17027424,0,1
53154,53154,a30564,b513,Chelsea's Kitchen,Phoenix,85018,1012,33.5112538,-111.9956517,4,5040 N 40th St,0,IsoLzudHC50oJLiEWpwV-w,Chelsea's Kitchen,Phoenix,85018,952,33.51134,-111.995464,4.4,5040 North 40th Street$*$ Biltmore/Arcadia$*$ Phoenix$*$ AZ 85018,17025770,0,1
53260,53260,a30803,b510,La Grande Orange Pizzeria,Phoenix,85018,653,33.50205325,-111.9957802,4.5,4410 N 40th St,0,7cK9uEV09iPmsTqOqmY3kQ,La Grande Orange Grocery,Phoenix,85018,736,33.501531,-111.995564,4.5,4410 North 40th Street$*$ Biltmore/Arcadia$*$ Phoenix$*$ AZ 85018,17027423,0,1
53261,53261,a30803,b511,La Grande Orange Pizzeria,Phoenix,85018,653,33.50205325,-111.9957802,4.5,4410 N 40th St,0,7cK9uEV09iPmsTqOqmY3kQ,La Grande Orange Pizzeria,Phoenix,85018,760,33.501531,-111.995564,4.5,4410 N 40th St$*$ Phoenix$*$ AZ 85018,17027424,0,1
53382,53382,a31577,b570,Desert Jade,Phoenix,85018,178,33.494918,-112.012263,4,3215 E Indian School Rd,0,tFcmrGLZNEymSnijoTPmqw,Desert Jade,Phoenix,85018,239,33.495063,-112.012475,4.1,3215 E Indian School Rd$*$ Phoenix$*$ AZ 85018,17026165,0,1
53537,53537,a34678,b596,Chicago Hamburger Co,Phoenix,85018,309,33.4947745,-112.0000425,4,3749 E Indian School Rd,0,UCqWJWovgeelP1OUI_L90w,Chicago Hamburger Co.,Phoenix,85018,204,33.494993,-112.00099,4,3749 E Indian School Rd$*$ Phoenix$*$ AZ 85018,17025788,0,1
53959,53959,a38721,b593,Vincent's On Camelback,Phoenix,85018,124,33.5102548,-111.9962632,4,3930 E Camelback Rd$*$ Ste 202,0,Tl2nqtPXlLbAG3qkUYVM2g,Vincent on Camelback,Phoenix,85018,219,33.510081,-111.996757,4,3930 East Camelback Road$*$ Biltmore/Arcadia$*$ Phoenix$*$ AZ 85018,17029906,0,1
